Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Duplicate),Inward issue link (Gantt End to Start),Outward issue link (Gantt End to Start),Inward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Open Question),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (AbbVie Brands),Custom field (AbbviePONumber),Custom field (Acceptance Criteria),Custom field (Action Required to Verify/Test Change),Custom field (Application ID),Custom field (Application Name - Scripted),Custom field (Approval Status),Custom field (As a ...),Custom field (Assigned Sub-Tasks),Custom field (BAP Number - Scripted),Custom field (BTO),Custom field (BTO - Scripted),Custom field (Begin Date),Custom field (Brand(s)),Custom field (Business Rank),Custom field (Change Number - Scripted),Custom field (Correction Required),Custom field (Current Status),Custom field (Defect ID),Custom field (Defect Type),Custom field (Demand Criticality),Custom field (Demand ID),Custom field (Desired/Proper Operation),Custom field (Detection),Custom field (Due Date),Custom field (ESS Deliverable),Custom field (End Date),Custom field (Environment),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimate (in days)),Custom field (Estimate Hours),Custom field (Estimated Date of Fix),Custom field (External Issue ID),Custom field (Final Resolution),Custom field (Flagged),Custom field (Funding Source),Custom field (Generic failure),Custom field (I Want to ...),Custom field (Non-JIRA Assignee),Custom field (Object ID),Custom field (Occurrence),Custom field (Original story points),Custom field (Parent Link),Custom field (Pending Tasks),Custom field (Percentage Completed),Custom field (Persona),Custom field (Phase),Custom field (Potential cause(s) / mechanisms of failure),Custom field (Potential failure mode),Custom field (Potential results),Custom field (Privacy Review),Custom field (Process Function),Custom field (Product),Custom field (Product Impact),Custom field (Quality Critical),Custom field (Quality Designation),Custom field (RAG Status),Custom field (RPA Discovery Status),Custom field (Rank),Custom field (Reason),Custom field (Recommended Action(s)),Custom field (Reference ID),Custom field (Requirement Criticality),Custom field (Requirement Type),Custom field (Retirement Reason),Custom field (Revision Number),Custom field (Revision Reason),Custom field (Root Cause),Custom field (SDS/SQA - Scripted),Custom field (SLC Methodology - Scripted),Custom field (SO),Custom field (SOD),Custom field (Score),Custom field (Screen ID(s)),Custom field (Severity),Custom field (Signatures),Custom field (So That ...),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Story),Custom field (Story Point Estimation),Custom field (Story Points),Custom field (Story Post-Approval),Custom field (Story Post-Approver),Custom field (Story Pre-Approval),Custom field (Story Pre-Approver),Custom field (Story status),Custom field (System Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Case Traceability),Custom field (Testing Impact),Custom field (VERA Sync ID),Custom field (gitBranch),Custom field (gitCommitsReferenced),Custom field (qTest Defect Code),Custom field (test),Custom field (zephyr-je-customfield-teststep),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
DS Component Theme Validation,ISAAP-674,640108,,Task,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,High,,MURPHPX6,MURPHPX6,MURPHPX6,07/Feb/25 3:53 PM,07/Feb/25 4:06 PM,08/Feb/25 7:34 AM,,,,,,,0,MVP,No-QA,,,DS Component Theme Validation,,MURPHPX6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i2q2dn:",,,,,Functional,,,,,,,,,,,,,,NOVA - S25,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,"07/Feb/25 3:53 PM;TEDESSX;Jira Automation - Update Epic Name:
Set Epic Name to updated Epic Summary;;;",,,,,,,,,,,,
Create Templates for DS and Project,ISAAP-666,640100,,Task,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,High,,LUDOLJX1,MURPHPX6,MURPHPX6,07/Feb/25 3:42 PM,07/Feb/25 3:53 PM,08/Feb/25 7:36 AM,,,,,,,0,MVP,No-QA,,,,,MURPHPX6,,,,,,,,,,,,,,,,,,,,,,,,ISAAP-667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i2q1qp:",,,,,Functional,,,,,,,,,,,,,,NOVA - S25,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,,,,,,,,,,,,,
Handoff Guide / Form,ISAAP-673,640107,,Task,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,High,,,MURPHPX6,MURPHPX6,07/Feb/25 3:51 PM,07/Feb/25 3:53 PM,08/Feb/25 7:36 AM,,,,,,,0,MVP,No-QA,,,,,MURPHPX6,,,,,,,,,,,,,,,,,,,,,,,,,,ISAAP-672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISAAP-669,,,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i2q2cj:",,,,,Functional,,,,,,,,,,,,,,NOVA - S25,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,,,,,,,,,,,,,
Container ,ISAAP-614,630831,,Story,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,High,,,BARKEJX3,BARKEJX3,23/Jan/25 10:46 AM,06/Feb/25 9:21 AM,04/Feb/25 8:45 AM,,,,,,,0,,,,,"Currently when no style is selected and an image is added, it is not showing up on the slide. [https://cwcm.abbvie.com/editor.html/content/nova/isa/mcs-iae/nova-skyrizi-gastro-binder/overview.html] is an example of this.  The main container will properly display the background, but the next container is not displaying it on the Clinical Experience tab. This may be image specific as I can add ""Skyrizi-gastro.png"", but not ""woman in water.png""",,BARKEJX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23/Jan/25 10:45 AM;BARKEJX3;container bkgd image.mp4;https://btsjira.abbvie.com/secure/attachment/443769/container+bkgd+image.mp4",,,,,,,,,,,,,,SKYRIZI,,"When Default(None) style is selected in a container, adding an image to the background should be seen for that container. Some images do not show up as background and no error messages alert the user that it will not work or why.",,,,,author,,,,,,,,,,,,,,,,,,,,,,ISAAP-547,,,,,,,,,,,change the background image of a container,None,,,,,,,,,,,,,N/A,,,,Low,,,"0|i2og2z:y",,,,,Functional,,,,,,,,,,,,,"if the styles available do not meet the needs of the slide, I can apply the correct background with an image",IAE Issues,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,"30/Jan/25 11:55 AM;BARKEJX3;This is not specific to this incident but on several containers to include Safety Slide main page, on the right hand side there is supposed to be a gradient container with text inside. I created the gradient background in Photoshop but was not able to apply it to the container.;;;","06/Feb/25 9:21 AM;BARKEJX3;[~TOLBEVX] I elevated this priority to High because I am still having this issue and it will prevent me from being able to continue. I am trying to dive into Rinvoq Rheum while I wait for a fix with Rinvoq Gastro slide and I am able to add the background image to the container, but the container will not display it.;;;",,,,,,,,,,,
Skyrizi resource ISA Slide safety bar,ISAAP-660,637640,,Task,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,High,,,BARKEJX3,BARKEJX3,04/Feb/25 2:18 PM,04/Feb/25 2:18 PM,08/Feb/25 7:36 AM,,,,,,06/Feb/25 12:00 AM,0,,,,,"At the end of the Safety considerations there is supposed to be a superscripted ""1"", but there is no way to superscript the ""1"" from the Safety Bar Title. Recommend being able to provide styling options that would support superscript of reference numbers and symbols.",,BARKEJX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SKYRIZI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISAAP-547,,,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i2pqi3:",,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,,,,,,,,,,,,,
Change location/print plans/email plans formulary data has no functionality,ISAAP-649,635618,,Task,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,High,,,BARKEJX3,BARKEJX3,30/Jan/25 3:24 PM,04/Feb/25 1:06 PM,08/Feb/25 7:36 AM,,,,,,,0,,,,,"While view as published, the ""Change location, print plans, and email plans"" for the Access and support slide doesn't seem to have the functionality that it does with Skyrizi Derm. Expectation is that it functions the same as Sky derm. Please advise if I am not authoring correctly to get it to function. ",,BARKEJX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30/Jan/25 3:24 PM;BARKEJX3;Formulary data duplicated.png;https://btsjira.abbvie.com/secure/attachment/447214/Formulary+data+duplicated.png",,,,,,,,,,,,,,SKYRIZI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISAAP-547,,,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i2oui3:zzw",,,,,Functional,,,,,,,,,,,,,,IAE Issues,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,,,,,,,,,,,,,
Dual Safety Bar,ISAAP-651,635620,,Task,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,High,,,BARKEJX3,BARKEJX3,30/Jan/25 3:48 PM,04/Feb/25 1:06 PM,31/Jan/25 9:28 AM,,,,,,,0,,,,,"Access and Support slide for the Humira tab requires a dual safety and indication component in the safety bar. Currently the safety bar is part of the page template and doesn't allow for an independent safety bar component when a tab is called. The based on also allows for each brand to be individually expanded as shown in the attachment.

Expectation is to be able to have the bottom indications independently expand. This feature will also be seen with other brands such as Rinvoq and is HIGHLY desirable.",,BARKEJX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30/Jan/25 3:39 PM;BARKEJX3;Dual Safety.png;https://btsjira.abbvie.com/secure/attachment/447221/Dual+Safety.png",,,,,,,,,,,,,,SKYRIZI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISAAP-547,,,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i2oui3:zzr",,,,,Functional,,,,,,,,,,,,,,IAE Issues,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,,,,,,,,,,,,,
Rinvoq Gastro Experience Fragment undefined,ISAAP-655,635894,,Task,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,High,,,BARKEJX3,BARKEJX3,31/Jan/25 2:02 PM,04/Feb/25 1:06 PM,08/Feb/25 7:36 AM,,,,,,04/Feb/25 12:00 AM,0,,,,,"While attempting to establish component policies for Rinvoq Gastro Experience Fragment, I was directed to https://cwcm.abbvie.com/editor.html/conf/xpomnichannel/settings/wcm/templates/rinvoq-gastro-experience-fragment/ 
Which labeled the template as undefined and had no components for me to apply policies to.

Expected result is to have all available components available to assign Rinvoq Gastro policies to.",,BARKEJX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RINVOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISAAP-547,,,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i2oui3:zzi",,,,,Functional,,,,,,,,,,,,,,IAE Issues,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,,,,,,,,,,,,,
Space too large between paragraphs ,ISAAP-621,631571,,Task,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,High,,,BARKEJX3,BARKEJX3,24/Jan/25 12:28 PM,04/Feb/25 12:58 PM,08/Feb/25 7:36 AM,,,,,,,0,,,,,"Space between paragraphs doesn't seem to change once the font size changes. I have attached 2 examples of this. One is at default text size and the other is at a font size of 12. The space between paragraphs seems much larger with the lower font size. I even tried to define the space as seen below:
<p><span style=""font-size: 12.0px; line-height: 13.0px;"">SKYRIZI is contraindicated in patients with a history of serious hypersensitivity reaction to risankizumab-rzaa or any of the excipients.<sup>1</sup></span></p>
<p><span style=""font-size: 8.0px; line-height: 8.0px;"">&nbsp;</span></p>
<p><span style=""font-size: 12.0px; line-height: 13.0px;"">In the treatment of CD, drug-induced liver injury during induction has been reported. Monitor liver enzymes and bilirubin levels at baseline and during induction, up to at least 12 weeks of treatment. Monitor thereafter according to routine patient management.<sup>1</sup></span></p>
I included how this visually displays with ""text space adjustment"" attachment. It didn't seem to change anything.

Expected result would be for the space between paragraphs adjust with the line height of the text.",,BARKEJX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28/Jan/25 2:13 PM;BARKEJX3;Paragraph spacing(1).png;https://btsjira.abbvie.com/secure/attachment/445754/Paragraph+spacing%281%29.png","28/Jan/25 2:13 PM;BARKEJX3;Paragraph spacing(2).png;https://btsjira.abbvie.com/secure/attachment/445755/Paragraph+spacing%282%29.png","28/Jan/25 2:13 PM;BARKEJX3;Paragraph spacing(3).png;https://btsjira.abbvie.com/secure/attachment/445756/Paragraph+spacing%283%29.png","28/Jan/25 2:09 PM;BARKEJX3;Safety bar color-corners.png;https://btsjira.abbvie.com/secure/attachment/445753/Safety+bar+color-corners.png","24/Jan/25 12:26 PM;BARKEJX3;text space adjustment.png;https://btsjira.abbvie.com/secure/attachment/444572/text+space+adjustment.png","24/Jan/25 12:22 PM;BARKEJX3;Text space default font size.png;https://btsjira.abbvie.com/secure/attachment/444574/Text+space+default+font+size.png","24/Jan/25 12:22 PM;BARKEJX3;text space font size 12.png;https://btsjira.abbvie.com/secure/attachment/444573/text+space+font+size+12.png",,,,,,,,SKYRIZI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISAAP-547,,,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i2oui3:r",,,,,Functional,,,,,,,,,,,,,,IAE Issues,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,"28/Jan/25 2:15 PM;BARKEJX3;I have added additional attachments as further examples within experience fragments where the same thing is occurring and not allowing the contents to fit within the container. Additional examples are from the modals associated with Access Slide.;;;",,,,,,,,,,,,
"Template header ""Tap here"" Container",ISAAP-632,633695,,Task,Open,ISAAP,ISA Authoring Platform,software,MCFADMX,,,High,,,BARKEJX3,BARKEJX3,28/Jan/25 3:46 PM,04/Feb/25 12:58 PM,08/Feb/25 7:36 AM,,,,,,,0,,,,,"When ""Tap here"" is selected the contents do no fit within the container and extend beyond the container. Request that this is created as a scrollable feature which fits within the container. ",,BARKEJX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28/Jan/25 3:45 PM;BARKEJX3;Tap here no scroll.png;https://btsjira.abbvie.com/secure/attachment/445919/Tap+here+no+scroll.png",,,,,,,,,,,,,,SKYRIZI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISAAP-547,,,,,,,,,,,,None,,,,,,,,,,,,,N/A,,,,,,,"0|i2oui0:",,,,,Functional,,,,,,,,,,,,,,IAE Issues,,,,,,,,,,,,,,,,,,,,,,No Team,,,,,,,,,,,,,,,,,,,,,
