Issue key,Issue id,Parent id,Status,Created,Updated,Assignee,Labels,Labels,Labels,Labels,Labels,Labels,Component/s,Component/s,Description
ISAAP-572,624324,,Open,10/Jan/25 2:35 PM,31/Jan/25 1:33 PM,TOLBEVX,,,,,,,IVA Button,,"Button text needs to be same size as other text and all on one line, but it is a different size that cannot be altered and takes up 3 lines. Despite the button container being wide enough to support text and icon, it would not align to one line.


Interim solution is to use IVA text component then button next to it."
ISAAP-672,640106,,Open,07/Feb/25 3:51 PM,07/Feb/25 3:54 PM,TOLBEVX,No-QA,,,,,,,,
MCS-4385,637898,,Backlog,05/Feb/25 6:46 AM,07/Feb/25 3:53 PM,TOLBEVX,category:content,slide:dosing,,,,,,,"h1. Site
 !screenshot-1.png|thumbnail! "
MCS-4393,638954,,Backlog,07/Feb/25 1:27 AM,07/Feb/25 3:35 PM,BARKEJX3,category:css,overlay:indications,slide:dosing,,,,,,"||#||Issue||Site||XD||
|1|Indications headline line-height is not matching as per XD| | |
|2|Indication content comes with single paragraph with bullet points in XD. In site, bullet point looks different color and size|  !screenshot-2.png|thumbnail! |  !screenshot-3.png|thumbnail!|
|3| 1-6 text width and Height is not matching as per the XD.|  !screenshot-4.png|thumbnail! |  !screenshot-5.png|thumbnail! |
|4| 1-6 font family, line-height, Background color is not matching as per the XD.| | |
|5|Spacing is not matching as per the XD.|  !screenshot-7.png|thumbnail! |  !screenshot-8.png|thumbnail! |
|6|Indication overlay width and height is not matching as per the XD.| | |"
MCS-4367,636519,,Reopened,03/Feb/25 6:57 AM,07/Feb/25 3:28 PM,TOLBEVX,category:css,overlay:references,slide:overview,,,,,,"# Numbers starting point is not matching as per the XD.
 # Numbers text-align is not matching as per the XD.
||XD||Site||
|!Overview XD.png|thumbnail!|!Overview Site.png|thumbnail!|
 # Space mismatch between one point to another point.
||XD||Site||
|!XD Line Height.png|thumbnail!|!Site Line Height.png|thumbnail!|
 # Numbers starting line is not matching as per the XD
||XD||Site||
|!Line Start XD.png|thumbnail!|!Line Start Site.png|thumbnail!|

||Slide||Initial Build Ticket||
|Overview|MCS-3048|
|Dosing|MCS-3416|
|Safety|MCS-3415|
|Access|MCS-3414|
 "
ISAAP-505,606302,,Done,02/Dec/24 10:59 AM,07/Feb/25 1:18 PM,TEDESSX,slide:access,slide:dosing,slide:overview,slide:safety,,,,,"The Full Prescribing links are authored pointing to a pdf file, but the URL opened is html

# Skyrizi
## Link Target: /content/dam/skyrizihcpivy/isa/lab-11561lab-07914-skyrizi-uc-rxabbvie.com-uspimgifus-20086179-r2-6-2024.pdf
## Page Template: https://cwcm.abbvie.com/editor.html/conf/xpomnichannel/settings/wcm/templates/skyrizi-derm/structure.html
!Authored Target.png|thumbnail!
## URL opened: https://cwcm.abbvie.com/content/dam/skyrizihcpivy/isa/lab-11561lab-07914-skyrizi-uc-rxabbvie.com-uspimgifus-20086179-r2-6-2024.html
!Rendered Target.png|thumbnail!
## Which results in a blank page.
!Blank Page.png|thumbnail!
##The document loads after changing the URL to pdf
!Document Loaded.png|thumbnail!
# Humira
## Link Target: /content/dam/skyrizihcpivy/isa/64h-1880512-humira-professional-isi-october-2016.pdf
## Pages
### Safety: https://cwcm.abbvie.com/editor.html/content/nova/isa/mcs-iae/nova-skyrizi-derm-binder/safety.html
### Access: https://cwcm.abbvie.com/editor.html/content/nova/isa/mcs-iae/nova-skyrizi-derm-binder/access.html
## URL Opened: https://cwcm.abbvie.com/content/dam/skyrizihcpivy/isa/64h-1880512-humira-professional-isi-october-2016.html
## Valid URL: https://cwcm.abbvie.com/content/dam/skyrizihcpivy/isa/64h-1880512-humira-professional-isi-october-2016.pdf"
MCS-4389,638691,,Done,06/Feb/25 9:28 AM,07/Feb/25 9:08 AM,BARKEJX3,category:css,overlay:references,slide:overview,,,,,,"Space above the references headline is not matching as per the XD
||Slide||Initial Build Ticket||XD||Site||
|Overview|MCS-3048| !Overview XD.png|thumbnail! | !Overview Site.png|thumbnail! |
|Dosing|MCS-3416| !Dosing XD.png|thumbnail! |!Dosing Site.png|thumbnail!  |
"
MCS-4391,639045,,Incident Raised,06/Feb/25 11:32 AM,07/Feb/25 8:33 AM,BARKEJX3,category:css,overlay:references,slide:overview,,,,,,"Blue line width and height is not matching as per XD.
||Slide||Initial Build Ticket||XD||Site||
|Overview|MCS-3048|!Overview XD.png|thumbnail!  |!Overview Site.png|thumbnail! |
|Dosing|MCS-3416|!Dosing XD.png|thumbnail!  |!Dosing Site.png|thumbnail!  |
|Safety|MCS-3415| |
|Access|MCS-3414| |
"
MCS-3416,590807,573641,BLOCKED,05/Nov/24 9:25 AM,07/Feb/25 1:28 AM,TEDESSX,DOR,,,,,,,,"h1. Useful Testing Links
* Published Page: [https://cwcm.abbvie.com/content/nova/isa/mcs-iae/nova-skyrizi-derm-binder/dosing.html?wcmmode=disabled]
* XD: [https://xd.adobe.com/view/0868e49b-aebf-4bdf-afc9-2894660a43ae-5d3b/]
* FRD: [FRDvSkyrizi Derm ISA.xlsm|https://abbvie.sharepoint.com/:x:/r/sites/NOVA/Shared%20Documents/General/Requirements/FRD%20Skyrizi%20Derm%20ISA.xlsm?d=wa21b6e6d39c34c85a506ed1e057cc416&csf=1&web=1&e=bPOTa0]
* Open Blockers: [Jira Filter|https://btsjira.abbvie.com/issues/?jql=issue%20IN%20linkedIssues(MCS-3416%2C%20%22is%20blocked%20by%22)%20AND%20statusCategory%20!%3D%20Done]

h1. Functional Testing
* Tested on tablet (11 and 13 in iPad)
* [Web Developer|https://chromewebstore.google.com/detail/web-developer/bfbameneiokkgbdmiekhjnmfkcnldhhm?pli=1] Chrome Browser Extension

h1. Known Differences
||#||Summary||Notes||
|1|ISI Onload|There is a requirement to show the ISA when loaded; therefore, all ISA pages are configured to show ISI on load to fulfill this requirement no matter which page is loaded first|
|2|Home Dots|Dots are visible when viewing in Veeva app|
|3|Home Icon|Home Icon is in the Nav Bar|
|4|Icons Removed|The 9 dots and rectangular icons are not present|
|5|Full Prescribing Link|The Full Prescribing link is adjacent to the ISI link|
|6|Safety Bar|The Safety Bar is collapsed on load|
|7|Veeva Number|The Veeva number is centered between the Tile Tabs and the right edge|
|8|References|Reference numbers are not actual links. The space between the left edge and the Tile Tabs is equally divided between the Indications and References overlay links|
|9|Hamburger Menu|Hamburger Menu is not depicted in XD|
|10|Dosing Schedules|The dosing schedules for IL inhibitors (slides 4 and 6) has been removed (see [^RE_ NOVA Weekly Core Team Meeting.msg])| 
|11|Indications Overlay|Indications Overlay has a close icon|
|12|Safety Content|Safety Bar and ISI content detailed in parent ticket, MCS-3047|
 !Dosing Differences.png|thumbnail! 

h1. Useful Authoring Links
* Experience Fragments: 
** https://cwcm-q.abbvie.com/aem/experience-fragments.html/content/experience-fragments/nova/isa/iae/skyrizi-derm
* Pages: 
** Classic: https://cwcm-q.abbvie.com/siteadmin#/content/nova/isa/mcs-iae/nova-skyrizi-derm-binder
** Touch: https://cwcm-q.abbvie.com/sites.html/content/nova/isa/mcs-iae/nova-skyrizi-derm-binder
* DAM
** Classic: 
*** https://cwcm-q.abbvie.com/damadmin#/content/dam/skyrizihcpivy/isa
*** https://cwcm-q.abbvie.com/damadmin#/content/dam/skyrizihcpivy/isa/template-assets
** Touch: 
*** https://cwcm-q.abbvie.com/assets.html/content/dam/skyrizihcpivy/isa
*** https://cwcm-q.abbvie.com/assets.html/content/dam/skyrizihcpivy/isa/template-assets
** Assets
*** PDF for reference attached to ticket
*** Individual Assets: [skyrizi-dosing|https://abbvie.sharepoint.com/:f:/r/sites/NOVA/Shared%20Documents/General/IAE%20Pilot/Derm%20Sky/US-SKZD-230596_CP/skyrizi-dosing?csf=1&web=1&e=94rQp4]
*** XD file: [https://xd.adobe.com/view/0868e49b-aebf-4bdf-afc9-2894660a43ae-5d3b/] 
*** PDF: [Core ISA 2.8 Dosing Tile.pdf|https://abbvie.sharepoint.com/:b:/r/sites/DSS/Shared%20Documents/Enterprise%20Services/MarTech%20Content%20Services/ISAs/US-SKZD-230142-%20Sky%20Derm%20IAE%20ISA/Core%20ISA%202.8%20Dosing%20Tile.pdf?csf=1&web=1&e=b7zFlq]
"
ISAAP-472,595491,,Done,12/Nov/24 3:28 PM,06/Feb/25 3:28 PM,TOLBEVX,category:authoring-assitance,slide:dosing,,,,,,,"Update the page template to include the Back Button
https://cwcm-q.abbvie.com/editor.html/conf/xpomnichannel/settings/wcm/templates/skyrizi-derm/structure.html
 !Add Back Button.png|thumbnail! "
