Issue key,Issue id,Parent id,Summary,Status,Created,Updated,Assignee,Component/s,Component/s,Labels,Labels,Labels,Labels,Labels,Labels,Sprint,Sprint,Sprint
ISAAP-672,640106,,Component Catalog documentation task,Open,07/Feb/25 3:51 PM,07/Feb/25 3:54 PM,TOLBEVX,,,No-QA,,,,,,NOVA - S25,,
MCS-4393,638954,,Dosing: Indications overlay CSS mismatches.,Backlog,07/Feb/25 1:27 AM,07/Feb/25 3:35 PM,BARKEJX3,,,category:css,overlay:indications,slide:dosing,,,,,,
MCS-4391,639045,,"References Overlay: Blue Line Below ""References""",Incident Raised,06/Feb/25 11:32 AM,07/Feb/25 8:33 AM,BARKEJX3,,,category:css,overlay:references,slide:overview,,,,,,
MCS-4390,639000,,References Overlay: Height and Width,Backlog,06/Feb/25 10:40 AM,06/Feb/25 3:25 PM,BARKEJX3,,,category:css,overlay:references,slide:overview,,,,,,
MCS-4389,638691,,References Overlay: Headline Location,Done,06/Feb/25 9:28 AM,07/Feb/25 9:08 AM,BARKEJX3,,,category:css,overlay:references,slide:overview,,,,,,
MCS-4385,637898,,Dosing: Page load ISI overlay full content is not displaying in site.,Backlog,05/Feb/25 6:46 AM,07/Feb/25 3:53 PM,TOLBEVX,,,category:content,slide:dosing,,,,,,,
MCS-4382,637999,, Dosing: Veeva Number CSS styling is not matching as per XD,Backlog,05/Feb/25 3:38 AM,06/Feb/25 2:57 PM,TOLBEVX,,,category:css,slide:dosing,,,,,,,
MCS-4380,637589,,Multiple Scroll Bars on ISI Overlay,Backlog,04/Feb/25 11:07 AM,06/Feb/25 3:05 PM,TOLBEVX,,,category:css,overlay:isi,slide:access,slide:dosing,slide:overview,slide:safety,,,
MCS-4370,636481,,Indications and References Overlay's closing scenario's issue. ,Backlog,03/Feb/25 9:31 AM,06/Feb/25 3:28 PM,TOLBEVX,,,category:requirements-clarification,overlay:indications,overlay:references,slide:dosing,,,,,
MCS-4367,636519,,References Overlay: Reference Text Styling,Reopened,03/Feb/25 6:57 AM,07/Feb/25 3:28 PM,TOLBEVX,,,category:css,overlay:references,slide:overview,,,,,,
MCS-4285,632310,,Overview: PsA Overlay Font and Blue Bar,In Progress,26/Jan/25 6:49 PM,06/Feb/25 3:25 PM,TOLBEVX,,,category:css,slide:overview,,,,,IAE Issues,,
MCS-4284,632309,,Overview: PS and PsA Modal Spacing,Done,26/Jan/25 6:36 PM,06/Feb/25 3:25 PM,TOLBEVX,,,category:css,slide:overview,,,,,,,
MCS-4283,632308,,Overview: PS and PsA Modal Size,Done,26/Jan/25 6:31 PM,06/Feb/25 3:26 PM,TOLBEVX,,,category:css,slide:overview,,,,,IAE Issues,,
MCS-4282,632307,,Overview: PS and PsA Overlay Background and Placement,Done,26/Jan/25 6:23 PM,06/Feb/25 3:25 PM,TOLBEVX,,,category:css,slide:overview,,,,,IAE Issues,,
MCS-4276,632300,,Overview: Prescribed Overlay Image Sizes,Done,26/Jan/25 5:59 PM,06/Feb/25 3:25 PM,BARKEJX3,,,category:css,slide:overview,,,,,,,
MCS-4275,632099,,Overview: Prescribed Overlay Tile Sizes,Done,26/Jan/25 5:55 PM,06/Feb/25 3:25 PM,BARKEJX3,,,category:css,slide:overview,,,,,,,
MCS-4273,632097,,Overview: Overview Button and VEEVA Project Number Font,In Progress,26/Jan/25 5:50 PM,06/Feb/25 3:25 PM,TOLBEVX,,,category:css,slide:overview,,,,,IAE Issues,,
MCS-4272,632096,,Overview: Tabs Background Color,Done,26/Jan/25 5:47 PM,06/Feb/25 3:25 PM,BARKEJX3,,,category:css,slide:overview,,,,,,,
MCS-4271,632095,,Overview: Tab Bar Color,In Progress,26/Jan/25 5:42 PM,06/Feb/25 3:25 PM,TOLBEVX,,,category:css,slide:overview,,,,,IAE Issues,,
MCS-4270,632094,,Overview: PS and PsA Callout Location,Done,26/Jan/25 5:39 PM,06/Feb/25 3:25 PM,BARKEJX3,,,category:css,slide:overview,,,,,,,
MCS-4269,632093,,Overview: PS and PsA Callout Titles,Backlog,26/Jan/25 5:22 PM,06/Feb/25 3:25 PM,TOLBEVX,,,category:css,slide:overview,,,,,,,
MCS-4267,632091,,Overview: Spacing Issue on Bottom of Right Box,Done,26/Jan/25 5:18 PM,06/Feb/25 3:25 PM,BARKEJX3,,,category:css,slide:overview,,,,,,,
MCS-4263,632085,,Overview: Right box width and height mismatch,Done,26/Jan/25 4:20 PM,06/Feb/25 3:26 PM,BARKEJX3,,,category:css,slide:overview,,,,,,,
MCS-4262,632084,,Overview: #1 Prescribed Tile Placement,Done,26/Jan/25 4:15 PM,06/Feb/25 3:25 PM,BARKEJX3,,,category:css,slide:overview,,,,,,,
MCS-4261,632083,,Overview: Space between “Skyrizi logo” and “For adults with moderate…” is mismatch,Done,26/Jan/25 4:11 PM,06/Feb/25 3:25 PM,BARKEJX3,,,category:css,slide:overview,,,,,,,
MCS-4260,632082,,Overview: Space between SKYRIZI is contraindicated content and Skyrizi indication is mismatch,In Progress,26/Jan/25 4:05 PM,06/Feb/25 3:25 PM,TOLBEVX,,,category:css,slide:overview,,,,,IAE Issues,,
MCS-4259,632081,,Overview: Font family is mismatch for safety bar content,Incident Raised,26/Jan/25 4:03 PM,06/Feb/25 3:25 PM,TOLBEVX,,,category:css,slide:overview,,,,,,,
MCS-4258,632080,,"Overview: Safety Considerations and Indications text font family, size, colour is mismatch.",In Progress,26/Jan/25 4:00 PM,06/Feb/25 3:25 PM,TOLBEVX,,,category:css,slide:overview,,,,,IAE Issues,,
MCS-4256,632078,,Overview: Navigation Bar Height,In Progress,26/Jan/25 3:43 PM,06/Feb/25 3:25 PM,TOLBEVX,,,category:content,slide:overview,,,,,IAE Issues,,
MCS-4255,632077,,Overview: Veeva Project Number,In Progress,26/Jan/25 3:38 PM,06/Feb/25 3:25 PM,TOLBEVX,,,category:content,slide:overview,,,,,IAE Issues,,
MCS-4252,632074,,Overview PS Overlay Content,In Progress,26/Jan/25 3:03 PM,06/Feb/25 3:25 PM,TOLBEVX,,,category:content,slide:overview,,,,,IAE Issues,,
MCS-4249,631592,,"Overview: (150 mg/injection), XD: (150 mg/ injection)- After “/” space is missing in site.",Ready for Testing,24/Jan/25 2:10 PM,06/Feb/25 3:25 PM,TOLBEVX,,,category:content,slide:overview,,,,,IAE Issues,,
MCS-4246,631586,,Overview: “Safety Considerations and Indications” text is appearing twice in site,Done,24/Jan/25 1:55 PM,06/Feb/25 3:26 PM,TOLBEVX,,,category:content,slide:overview,,,,,IAE Issues,,
ISAAP-610,630094,,No Style support for IVA Table,Open,22/Jan/25 1:00 PM,24/Jan/25 2:05 PM,TOLBEVX,,,No-QA,,,,,,IAE Issues,,
ISAAP-609,629999,,Formulary Component Email Configuration,Open,22/Jan/25 12:44 PM,24/Jan/25 9:29 AM,BARKEJX3,,,No-QA,,,,,,,,
ISAAP-608,629572,,Access Authoring Items - Humira Access,Done,21/Jan/25 9:28 PM,30/Jan/25 12:55 PM,TOLBEVX,,,category:authoring-assitance,No-QA,,,,,NOVA - S23,,
ISAAP-572,624324,,Button Text styling,Open,10/Jan/25 2:35 PM,31/Jan/25 1:33 PM,TOLBEVX,IVA Button,,,,,,,,IAE Issues,,
ISAAP-571,624278,,IVA Text Code (NOVA-0007),Open,10/Jan/25 10:51 AM,23/Jan/25 11:42 AM,TOLBEVX,,,No-QA,,,,,,IAE Issues,,
ISAAP-570,624277,,IVA Title Alignment (NOVA-0006),Done,10/Jan/25 10:51 AM,24/Jan/25 1:04 PM,TOLBEVX,,,No-QA,,,,,,IAE Issues,,
ISAAP-569,624276,,Button position (NOVA-0004),Done,10/Jan/25 10:51 AM,04/Feb/25 8:14 AM,TOLBEVX,IVA Button,,category:template-styles,No-QA,,,,,NOVA - S23,,
ISAAP-568,624275,,Skyrizi Gastro Experience Fragment (NOVA-0003),Open,10/Jan/25 10:51 AM,24/Jan/25 12:36 PM,TOLBEVX,,,category:platform-product,No-QA,,,,,IAE Issues,,
ISAAP-567,624274,,Tabs Header Ribbon (NOVA-0002),Open,10/Jan/25 10:51 AM,04/Feb/25 12:58 PM,TOLBEVX,TabsHeader,,category:platform-product,No-QA,,,,,IAE Issues,,
ISAAP-564,624271,,Layout adjustment not responding (NOVA-0014),Open,10/Jan/25 10:48 AM,04/Feb/25 8:50 AM,BARKEJX3,,,category:platform-product,,,,,,IAE Issues,,
ISAAP-563,624270,,Font size adjustment in Experience Fragment (NOVA-0013),In Progress,10/Jan/25 10:48 AM,06/Feb/25 10:01 AM,TOLBEVX,,,category:platform-product,,,,,,NOVA - S24,,
ISAAP-562,624269,,Line height adjustment (NOVA-0012),Done,10/Jan/25 10:48 AM,21/Jan/25 8:54 AM,TOLBEVX,,,,,,,,,NOVA - S22,,
ISAAP-559,624266,,Safety bar (NOVA-0009),Done,10/Jan/25 10:48 AM,21/Jan/25 8:54 AM,TOLBEVX,,,,,,,,,NOVA - S22,,
ISAAP-557,623921,,Skyrizi Logo Not Blurred when Ps and PsA Overlays Open,Done,09/Jan/25 3:27 PM,06/Feb/25 3:25 PM,TOLBEVX,,,No-QA,slide:overview,,,,,NOVA - S23,,
ISAAP-533,617921,,Formulary Component Email Button Location,Done,23/Dec/24 11:31 AM,22/Jan/25 12:44 PM,TOLBEVX,,,No-QA,,,,,,NOVA - S22,,
ISAAP-532,617920,,National Tab Missing Humira Access Button,Done,23/Dec/24 11:27 AM,21/Jan/25 9:11 AM,TOLBEVX,,,category:authoring-assitance,No-QA,,,,,NOVA - S22,,
ISAAP-530,617910,,Safety Bar Scrolling,Open,23/Dec/24 10:48 AM,06/Feb/25 3:25 PM,TOLBEVX,,,No-QA,slide:overview,,,,,NOVA - S22,IAE Issues,
ISAAP-529,617230,,iPad Navigation,Open,20/Dec/24 9:32 AM,06/Feb/25 3:26 PM,BARKEJX3,,,No-QA,slide:overview,,,,,NOVA - S22,,
ISAAP-522,614606,,Forced Modal - Display Full Important Safety Information When Launching ISA,Open,16/Dec/24 2:50 PM,06/Feb/25 3:25 PM,TOLBEVX,,,No-QA,slide:overview,,,,,NOVA - S22,IAE Issues,
ISAAP-514,608465,,Access Authoring Items,Done,04/Dec/24 8:10 PM,21/Jan/25 9:37 PM,TOLBEVX,,,category:authoring-assitance,No-QA,,,,,NOVA - S19,,
ISAAP-512,607694,,Safety Authoring Items,Done,04/Dec/24 8:28 AM,22/Jan/25 4:02 PM,TOLBEVX,,,category:authoring-assitance,No-QA,,,,,NOVA - S19,NOVA - S20,
ISAAP-510,606680,,Overview - Ps Callout Change Carousel Slides,Done,02/Dec/24 9:14 PM,06/Feb/25 3:25 PM,TOLBEVX,,,category:authoring-assitance,No-QA,slide:overview,,,,NOVA - S19,NOVA - S20,
ISAAP-509,606679,,Overview - Overlay Open Items,Done,02/Dec/24 9:06 PM,06/Feb/25 3:25 PM,TOLBEVX,,,category:authoring-assitance,No-QA,slide:overview,,,,NOVA - S19,,
ISAAP-508,606678,,Overview - 3 Cell Overlay,Done,02/Dec/24 8:44 PM,06/Feb/25 3:26 PM,TOLBEVX,,,category:authoring-assitance,No-QA,slide:overview,,,,NOVA - S19,NOVA - S22,
ISAAP-507,606380,,Cannot Widen Component to Use Full Width,Open,02/Dec/24 12:59 PM,06/Feb/25 3:25 PM,TOLBEVX,,,NotForMVP,slide:overview,,,,,IAE Issues,,
ISAAP-506,606331,,Dosing Authoring Items,Done,02/Dec/24 11:26 AM,06/Feb/25 3:21 PM,TOLBEVX,,,category:authoring-assitance,No-QA,slide:dosing,,,,NOVA - S19,NOVA - S22,
ISAAP-505,606302,,"Full Prescribing Link Opens as HTML, not PDF",Done,02/Dec/24 10:59 AM,07/Feb/25 1:18 PM,TEDESSX,,,slide:access,slide:dosing,slide:overview,slide:safety,,,NOVA - S19,NOVA - S20,NOVA - S21
ISAAP-503,604331,,Overview Authoring Items,Done,27/Nov/24 8:48 AM,06/Feb/25 3:25 PM,TOLBEVX,,,category:authoring-assitance,No-QA,slide:overview,,,,NOVA - S19,,
ISAAP-501,603823,,Numbering in Modal 3 Overlay,Done,26/Nov/24 1:40 PM,06/Feb/25 3:28 PM,TOLBEVX,IVA Text,,No-QA,NotForMVP,slide:dosing,,,,NOVA - S19,,
ISAAP-498,601984,,Styling Tabs Header in Experience Fragment,Done,22/Nov/24 1:47 PM,06/Dec/24 12:48 PM,TEDESSX,,,,,,,,,,,
